"club_id","name","country"
1,"Home Nightclub","Australia"
7,"The Portland Hotel","Australia"
90,"Billboard The Venue","Australia"
110,"Ace Morning Bar","Australia"
111,"Bar Altitude","Australia"
115,"ANU Refectory","Australia"
118,"Aqua Luna","Australia"
119,"Church Bar","Australia"
122,"South Atlantic Wharf","Australia"
124,"Sydney Football Stadium","Australia"
126,"Bar Broadway","Australia"
128,"Basement 407","Australia"
130,"Bay 33","Australia"
133,"Belvoir Ampitheatre","Australia"
135,"Big Mouth","Australia"
139,"Blu Pols","Australia"
144,"Bondi Pavilion","Australia"
147,"Off Broadway Hotel","Australia"
148,"Brooklyn Hotel","Australia"
149,"Burdekin Hotel","Australia"
156,"Cargo Bar","Australia"
162,"Centennial Park","Australia"
166,"Chevron","Australia"
168,"Chinese Laundry","Australia"
172,"Club 414","United Kingdom"
173,"Club 77","Australia"
176,"Club Evolution","Australia"
188,"Collector Hotel","Australia"
189,"Colonial Hotel","Australia"
190,"Coogee Bay Hotel","Australia"
191,"Cooney's Tavern - Wollongong","Australia"
195,"Cameo Miami","United States of America"
202,"Dallas Brooks Hall","Australia"
208,"Deep 11","Australia"
213,"Differ Ariake","Japan"
215,"Dome","Australia"
216,"Doug Jennings Park","Australia"
219,"Dream Nightclub","Australia"
224,"E-55","Australia"
227,"Eden","Australia"
232,"Sydney Entertainment Centre","Australia"
234,"The Evelyn Hotel","Australia"
235,"Events Warehouse","Australia"
237,"fabric","United Kingdom"
241,"FMS Manuka","Australia"
244,"Fortress Studios","United Kingdom"
248,"The Gaelic Theatre","Australia"
253,"Gasworks Park","Australia"
254,"Gearins Hotel backroom","Australia"
255,"Geddes Lounge","Australia"
256,"Geisha","Australia"
257,"Music Bar & Club","United Kingdom"
258,"Gladstone Hotel","Australia"
259,"The GlassHouse","Australia"
266,"Glow Bar","Australia"
267,"Golden Sheaf","Australia"
270,"The Greenwood Hotel","Australia"
274,"Heaven","United Kingdom"
276,"The Hi-Fi","Australia"
283,"HomeBar","Australia"
286,"Hordern Pavilion","Australia"
287,"Hotel Metropolis","Australia"
290,"The IceBox","Australia"
293,"The International","Australia"
296,"Jacksons on George","Australia"
300,"Kings Cross Hotel","Australia"
303,"Kryal Castle","Australia"
306,"Lake Jindabyne Hotel","Australia"
307,"Laundry","Australia"
310,"Lewisham Hotel","Australia"
316,"Lounge","Australia"
321,"Makuhari Messe","Japan"
324,"Manning Bar","Australia"
326,"Marrickville Bowling and Recreational Club","Australia"
329,"Mega Bar","Australia"
331,"The Mercat Cross Hotel","Australia"
339,"Metro City","Australia"
340,"O2 Arena","United Kingdom"
343,"Mint","Australia"
345,"Empire Hotel","Australia"
350,"Newtown Hotel","Australia"
355,"Old Liverpool Airfield","United Kingdom"
358,"OneSixOne","Australia"
364,"Pavilion","Australia"
367,"Phoenix Bar","Australia"
371,"Vault 8","Australia"
372,"Pony Club","Australia"
374,"The Prince","Australia"
375,"Prince Alfred Park Pool","Australia"
378,"Queensbridge","Australia"
384,"RNA Showgrounds","Australia"
390,"Revolver Upstairs","Australia"
392,"Riviera Theatre","United States of America"
394,"Rod Laver Arena","Australia"
398,"Room680","Australia"
400,"The Roxbury","Australia"
401,"Royal Botanic Gardens","Australia"
402,"Ruby's","Australia"
405,"Saitama Super Arena","Japan"
412,"Seven","Australia"
415,"Sidney Myer Music Bowl","Australia"
416,"Slip Inn","Australia"
422,"Spy Bar","Australia"
423,"St Kilda Bowling Club","Australia"
427,"Suede","Australia"
428,"Sugareef","Australia"
432,"Acer Arena","Australia"
437,"Sydney Olympic Sports Center","Australia"
445,"Tatou","Australia"
449,"Arena Entertainment Complex","Australia"
450,"Bank Hotel","Australia"
451,"The Bentley Bar","Australia"
454,"The Breakroom","Australia"
456,"The Cage","Australia"
459,"The Corner Hotel","Australia"
462,"The Domain","Australia"
471,"The Hunter Bar","Australia"
475,"The Kitchen","Australia"
479,"The Metro Theatre","Australia"
481,"The NEC","United Kingdom"
487,"The Public Office","Australia"
490,"The Saint","Australia"
494,"The Sugar Suite","Australia"
501,"The Zone","Australia"
502,"The Basement","Australia"
507,"Transit Bar","Australia"
508,"Trinity Bar","Australia"
510,"Turweston Aerodrome","United Kingdom"
514,"UNSW Roundhouse","Australia"
517,"V Bar","Australia"
518,"Velvet Lounge","Australia"
522,"Viper Room","Australia"
525,"Westgate Sports & Leisure Centre","Australia"
530,"Woolloomooloo Bay Hotel","Australia"
545,"The Capsule","Australia"
547,"Commercial Lounge","Australia"
549,"Empress Hotel","Australia"
552,"Q Bar","Australia"
553,"Rob Roy Hotel","Australia"
558,"Veludo","Australia"
560,"Arq","Australia"
561,"Bar Cleveland","Australia"
562,"Civic Hotel","Australia"
563,"The Empire Hotel","Australia"
566,"Lansdowne Hotel","Australia"
570,"One World of Sport","Australia"
572,"Stonewall Hotel","Australia"
573,"Casablanca","Australia"
575,"Jorge","Australia"
578,"Tivoli","Australia"
579,"Globe Nightclub","Australia"
581,"Up Bar","Australia"
584,"O2 Academy Brixton","United Kingdom"
586,"Slide","Australia"
587,"The Establishment","Australia"
592,"Two Floors Up","Australia"
593,"CBD","Australia"
598,"City Hotel","Australia"
600,"Oslo","United Kingdom"
601,"The Arthouse","Australia"
607,"Vision","United States of America"
608,"Smart Bar","United States of America"
613,"Pontoon","Australia"
615,"Zentra","United States of America"
616,"The Night Owl","Australia"
638,"The Republic","United Kingdom"
640,"Cargo","United Kingdom"
641,"Brisbane Riverside Complex","Australia"
642,"Insomnia","Australia"
643,"Bar Europa","Australia"
646,"Melbourne Park","Australia"
648,"Middle Bar","Australia"
651,"Republica Bar","Australia"
652,"The Leederville Hotel","Australia"
653,"Zanzibar Club","United Kingdom"
654,"Enmore Theatre","Australia"
656,"Nation","United Kingdom"
657,"Impact Center","United Kingdom"
659,"Bourgie","Australia"
660,"Pure","Australia"
662,"Thirteen","United Kingdom"
663,"Ocean","United Kingdom"
665,"Babylon","Australia"
667,"Eastnor Castle","United Kingdom"
670,"Matterley Bowl","United Kingdom"
671,"Lemon Lounge","United Kingdom"
674,"Aquarium","United Kingdom"
676,"Word Bar","Australia"
683,"Herbal","United Kingdom"
686,"Office Nightclub","Australia"
687,"The Mezz Club","United Kingdom"
691,"Cecil Street Warehouse","Australia"
699,"Shadows","United Kingdom"
700,"Guestlist Club","Romania"
701,"Family Nightclub","Australia"
709,"Syrup Club","Australia"
710,"ToST Lounge","United States of America"
711,"The Basement","Australia"
712,"Space","Australia"
719,"Lotus Bar","Australia"
722,"Motel","Australia"
723,"Spring4h Center","United States of America"
725,"Ministry Of Sound","United Kingdom"
729,"Camden Palace","United Kingdom"
733,"SEOne","United Kingdom"
734,"93 Feet East","United Kingdom"
735,"The Bug Bar","United Kingdom"
736,"Monkey Chews","United Kingdom"
737,"Rhythm Factory","United Kingdom"
740,"Club Aquarium","United Kingdom"
741,"Air","United Kingdom"
745,"Bar Rumba","United Kingdom"
756,"Universe","Australia"
763,"Eden","Spain"
764,"Amnesia","Spain"
765,"Privilege","Spain"
768,"Atlantic South Wharf","Australia"
772,"Candy's Apartment","Australia"
774,"Pacha","Argentina"
775,"Medicine Bar","United Kingdom"
784,"Pure","United States of America"
785,"C-Seven","Australia"
786,"Tropicana Hotel","United States of America"
788,"Ambar","Australia"
789,"The Music Box","United Kingdom"
790,"Trafik","United Kingdom"
797,"Sala del Cel, La","Spain"
798,"Bayfront Park","United States of America"
801,"University of East Anglia (UEA)","United Kingdom"
805,"NCLA","United Kingdom"
811,"On The Rocks","United Kingdom"
812,"The Bourbon","Australia"
814,"Essence","United Kingdom"
815,"Mint Club","United Kingdom"
816,"The Rocket","United Kingdom"
818,"Inflation, level 3","Australia"
826,"Barfly","United Kingdom"
828,"Stereo","Canada"
831,"Space","United States of America"
838,"Lifthouse","United Kingdom"
842,"The Loft Nightclub","United Kingdom"
843,"The National Hotel","United States of America"
844,"The Kent Hotel","United States of America"
845,"Ice Palace","United States of America"
850,"The Venue Clubssaloniki","Greece"
851,"Shebeen","United Kingdom"
853,"EQ Arena","United Kingdom"
859,"The Guvernment","Canada"
862,"Sanctuary","Australia"
863,"Sub Logic","United Kingdom"
866,"Abbasso Underground Lounge","United States of America"
869,"Moulin Rouge","Australia"
871,"Red Zone","United States of America"
873,"The World Headquarters","United Kingdom"
874,"Egg London","United Kingdom"
878,"Club 101","United States of America"
882,"Priviledge","Greece"
884,"The Telegraph","United Kingdom"
886,"Aqua Hotel","United States of America"
888,"The Retreat","United Kingdom"
889,"Goa Club","Italy"
892,"Foundation","United Kingdom"
893,"Jazid","United States of America"
900,"St Pauls Tavern Springhill","Australia"
904,"Clevelander Hotel","United States of America"
905,"Custard Factory Arts Complex","United Kingdom"
906,"Dicey's Basement bar","United Kingdom"
907,"The Loft","Australia"
908,"Bar Bluu","United Kingdom"
910,"The Peephouse","United Kingdom"
911,"Razzmatazz","Spain"
914,"SOBAR","United Kingdom"
916,"Passion Club Lounge","Australia"
917,"Bullet's","Japan"
918,"East Village Hotel","Australia"
920,"Candystore","United Kingdom"
921,"Barmah Forest","Australia"
922,"Zouk","Singapore"
924,"Infinity Club","United Kingdom"
925,"Alia","Australia"
928,"The Legion","United Kingdom"
929,"Charterhouse Bar","United Kingdom"
931,"Juno","United Kingdom"
932,"Club Motor","Romania"
934,"The Cube","United Kingdom"
937,"Electrowerkz","United Kingdom"
938,"Bar Arc","Netherlands"
943,"Fluid","United Kingdom"
945,"Casanova Suites Hotel","United States of America"
947,"The Phoenix","United Kingdom"
948,"Lola's Boutique","United Kingdom"
952,"Great Northern Hotel - Byron Bay","Australia"
963,"Loop","Australia"
965,"The Living Room at Opa","United States of America"
966,"Ding Dong","Australia"
968,"Underground Bar","Australia"
972,"Liquid Nightclub","United Kingdom"
973,"333 Club","United Kingdom"
974,"Salle Jacques Brel","France"
980,"Solus","United Kingdom"
983,"Room Service","United States of America"
986,"Establishment","United Kingdom"
988,"Ahoy Rotterdam","Netherlands"
989,"Eleven-A","Australia"
994,"Brown Alley","Australia"
995,"Hanah Bar","United Kingdom"
996,"Gatecrasher One","United Kingdom"
997,"Mansion Nightclub","United States of America"
1001,"Copyright Club","United Kingdom"
1003,"Below 54","United Kingdom"
1004,"Mission","United Kingdom"
1005,"Chicane Lounge","Australia"
1009,"Hendre Hall","United Kingdom"
1010,"The Pavilion","Australia"
1012,"Myntlounge","United States of America"
1014,"Bunker Lounge","Australia"
1020,"Transit","United States of America"
1023,"St Pauls Complex","Australia"
1026,"Chi","United Kingdom"
1029,"Third Base","United Kingdom"
1031,"Wildcat Lounge","United States of America"
1033,"Silvers","Australia"
1036,"1936, Reef Casino","Australia"
1039,"The Rose","United Kingdom"
1041,"Barfly","United Kingdom"
1042,"12 Bar Club","United Kingdom"
1045,"The Rescue Rooms","United Kingdom"
1052,"Canvas","United Kingdom"
1053,"Hotel Orient","Australia"
1055,"Redbox","Ireland"
1059,"The Glasshouse","Australia"
1065,"World Bar","Australia"
1066,"Hisense Arena","Australia"
1067,"Florida 135","Spain"
1068,"Monegros Desert","Spain"
1070,"Altitude","Australia"
1074,"Bar Luca","Australia"
1075,"The Esplanade Hotel","Australia"
1077,"Aura Lounge","Australia"
1082,"Progress Bar","United Kingdom"
1083,"Chill Out Club","Romania"
1088,"The Front Page","United Kingdom"
1090,"Fudge","United Kingdom"
1093,"Ballena Alegre","Spain"
1094,"The Attic","United Kingdom"
1097,"The Funhaus","Canada"
1100,"The Atrium","United Kingdom"
1103,"Fire","United Kingdom"
1105,"Tribecca","Ireland"
1107,"Studio 33","United Kingdom"
1111,"The Adelphi","United Kingdom"
1112,"The Annandale","Australia"
1114,"Sobar","Australia"
1117,"Sly Fox Hotel","Australia"
1118,"Bar Hannah","United Kingdom"
1123,"Southside Bar","United Kingdom"
1124,"Lush","United Kingdom"
1125,"Balado","United Kingdom"
1126,"The Roxy Hotel","Australia"
1135,"Dukes","United Kingdom"
1139,"Barrack Street Jetty","Australia"
1141,"Alumbra","Australia"
1142,"Milkbar","Australia"
1143,"Heebie Jeebies","United Kingdom"
1144,"New Century House","United Kingdom"
1152,"The Village","United Kingdom"
1153,"Inigo Bar","United Kingdom"
1154,"Club Nassau","Ireland"
1160,"Grand Hotel - Wyong","Australia"
1163,"The Elbo Room","United States of America"
1166,"The Purple Turtle","United Kingdom"
1168,"Royal Exchange of Sydney","Australia"
1171,"Boutique","Australia"
1173,"Hotel Bondi","Australia"
