"dj_id","name","country","soundcloud_url","soundcloud_id"
1070,"illum sphere",NULL,"http://www.soundcloud.com/illum-sphere",2810
9632,"kutmah",NULL,"http://www.soundcloud.com/kutmah-beats",3932547
9674,"elijah and skilliam",NULL,"http://www.soundcloud.com/ElijahSkilliam",98397172
18994,"blackdown","united kingdom",NULL,NULL
26099,"lhf","united kingdom",NULL,NULL
10337,"distance","united kingdom",NULL,76355100
11955,"spectrasoul",NULL,"http://www.soundcloud.com/spectrasoul",100650
14010,"ant tc1",NULL,"http://www.soundcloud.com/anttc1",66177
15749,"grooverider","united kingdom",NULL,NULL
15752,"dj hype","united kingdom",NULL,NULL
17155,"ltj bukem","united kingdom",NULL,NULL
20512,"dillinja","united kingdom",NULL,NULL
22243,"daniel avery",NULL,"http://www.soundcloud.com/danielavery",82706
1558,"tayo","united kingdom",NULL,NULL
6275,"groove armada","Britain (UK)","http://www.soundcloud.com/groove-armada-1",5104908
16253,"kolsch","Denmark","http://www.soundcloud.com/kolsch",4417549
20860,"jaymo & andy george",NULL,"http://www.soundcloud.com/jaymoandandygeorge",919208
21356,"finnebassen","Norway","http://www.soundcloud.com/finnebassen",1185034
26377,"trancemicsoul","South Africa","http://www.soundcloud.com/trancemicsoul",114505
5364,"lenzman","Netherlands","http://www.soundcloud.com/lenzman",107219
7023,"dj marky","Brazil",NULL,NULL
8002,"my nu leng",NULL,"http://www.soundcloud.com/mynuleng",1711304
18648,"chromatics","usa",NULL,NULL
25874,"foreign beggars","united kingdom",NULL,NULL
26067,"monki",NULL,"http://www.soundcloud.com/monki-1",4191312
26322,"gotsome",NULL,"http://www.soundcloud.com/gotsome",53358108
26378,"amy becker",NULL,"http://www.soundcloud.com/amybeckerdj",2517183
5983,"d-bridge","united kingdom",NULL,NULL
11841,"calibre","ireland",NULL,NULL
12194,"banton","united kingdom",NULL,NULL
15573,"lsb","united kingdom",NULL,NULL
15738,"marcus intalex","united kingdom",NULL,NULL
17837,"netsky","belgium",NULL,NULL
20486,"teebee","Netherlands","http://www.soundcloud.com/Djteebee",22882990
20493,"calyx",NULL,"http://www.soundcloud.com/calyx",15428
1235,"nymfo","Netherlands","http://www.soundcloud.com/nymfo",14885
5572,"alix perez","united kingdom",NULL,NULL
8209,"black sun empire","netherlands",NULL,30296
15748,"high contrast","united kingdom",NULL,60448764
22742,"ed rush","united kingdom",NULL,NULL
26074,"joe ford","Britain (UK)","http://www.soundcloud.com/forddnb",1531231
26089,"phace","Germany","http://www.soundcloud.com/phace",15042
26090,"misanthrop","Germany","http://www.soundcloud.com/misanthropNSGNL",2406895
10769,"doc scott","united kingdom",NULL,158721
13755,"youngman","united kingdom",NULL,NULL
16360,"zero t","united kingdom",NULL,NULL
2603,"marco bailey","Belgium","http://www.soundcloud.com/marco-bailey",384637
8577,"carlo lio","Canada","http://www.soundcloud.com/carlolio",30860
9242,"monika kruse","Germany","http://www.soundcloud.com/monikakruse",261653
10595,"carl cox","Britain (UK)","http://www.soundcloud.com/carl-cox",13245797
11010,"jon rundell","Britain (UK)","http://www.soundcloud.com/jon-rundell",929664
11211,"harvey mckay","united kingdom",NULL,15047
9094,"cormac",NULL,"http://www.soundcloud.com/cormac",196974
18215,"peter pixzel","united kingdom",NULL,NULL
18228,"jacob husley","united kingdom",NULL,8000861
18643,"marc houle","Germany","http://www.soundcloud.com/marchoule",35256
25847,"sam bangura","united kingdom",NULL,303183
26248,"lamache","united kingdom",NULL,NULL
26040,"jane fitz",NULL,"http://www.soundcloud.com/janefitz",30576
22604,"scott palmer",NULL,"http://www.soundcloud.com/project-london-records",28727711
11653,"gabriel amaru",NULL,"http://www.soundcloud.com/gabriel_amaru",183899
11689,"dragos ungureanu",NULL,"http://www.soundcloud.com/scaramous",361295
26230,"dean marc","united kingdom",NULL,NULL
23,"ricardo villalobos","Chile","http://www.soundcloud.com/ricardo-villalobos-off",17355115
6685,"stacey pullen","United States","http://www.soundcloud.com/staceypullen",1001305
7883,"terry francis","united kingdom",NULL,NULL
15753,"craig richards","united kingdom",NULL,NULL
26372,"amir javasoul","Canada","http://www.soundcloud.com/amirjavasoul",29740
163,"cari lekebusch",NULL,"http://www.soundcloud.com/carilekebusch",9879
728,"tuccillo","spain",NULL,NULL
981,"moodymanc","united kingdom",NULL,NULL
4166,"peter van hoesen","Germany","http://www.soundcloud.com/petervanhoesen",1262
4904,"brodanse",NULL,"http://www.soundcloud.com/brodanse",6780899
11200,"matador","Ireland","http://www.soundcloud.com/matador_official",120958
20226,"josh wink","usa",NULL,NULL
22,"rhadoo","romania",NULL,NULL
24,"thomas melchior","germany",NULL,NULL
730,"subb-an",NULL,"http://www.soundcloud.com/subb-an",2217
819,"d'julz","France","http://www.soundcloud.com/djulz",1823556
832,"adam shelton","united kingdom",NULL,NULL
837,"acid mondays","Spain","http://www.soundcloud.com/acid-mondays",138291
985,"lee pennington","united kingdom",NULL,NULL
1269,"john dimas","Germany","http://www.soundcloud.com/john-dimas",66967
5118,"soul capsule","united kingdom",NULL,NULL
5140,"baby ford","united kingdom",NULL,NULL
14328,"akufen","canada",NULL,8173949
16348,"ferro","Netherlands","http://www.soundcloud.com/ferro",88607
20576,"milhouse","Britain (UK)","http://www.soundcloud.com/jmilhouse",1976334
23233,"philip stirzaker","united kingdom",NULL,565752
4250,"joey anderson","United States","http://www.soundcloud.com/joey-anderson",591483
4419,"point g",NULL,"http://www.soundcloud.com/point-g-3",37577485
4451,"funkineven","Britain (UK)","http://www.soundcloud.com/funkineven",7557883
5835,"nick höppner","Germany","http://www.soundcloud.com/nick-hoeppner",4017
5862,"bicep",NULL,"http://www.soundcloud.com/feelmybicep",92661
7333,"tim sweeney","United States","http://www.soundcloud.com/timsweeney",215812
16782,"kyle hall","United States","http://www.soundcloud.com/wild-oats-music",10521978
18442,"k15",NULL,"http://www.soundcloud.com/k15",214648
25601,"ali tillett","united kingdom",NULL,NULL
26375,"ollie seaman","united kingdom",NULL,NULL
26376,"myles mears","united kingdom",NULL,NULL
2281,"alex arnout","united kingdom",NULL,215810
2458,"kirk degiorgio","united kingdom",NULL,NULL
2620,"steve bug","Germany","http://www.soundcloud.com/stevebug",57995
6730,"ben sims",NULL,"http://www.soundcloud.com/ben-sims",8588
6857,"john barera",NULL,"http://www.soundcloud.com/johnbarera",43344
10994,"detroit swindle","Netherlands","http://www.soundcloud.com/detroitswindle",91162
14267,"will martin","United States","http://www.soundcloud.com/will_martin",136698
18285,"marcel fengler","Germany","http://www.soundcloud.com/marcel-fengler",3464694
18786,"tom rio","united kingdom",NULL,NULL
18790,"dan wild","united kingdom",NULL,329213
1415,"cosmin trg","Germany","http://www.soundcloud.com/trg",28700
10582,"tim green",NULL,"http://www.soundcloud.com/Timgreen",18676
10730,"tiefschwarz","germany",NULL,NULL
10961,"lucy","Germany","http://www.soundcloud.com/lucy",13599
429,"steve rachmad","Netherlands","http://www.soundcloud.com/steverachmad",183866
2967,"joseph capriati","Italy","http://www.soundcloud.com/joseph-capriati",22769
6654,"joris voorn","Netherlands","http://www.soundcloud.com/joris-voorn",198443
5847,"glimpse","Britain (UK)","http://www.soundcloud.com/glimpse",205412
1649,"steve lawler","Britain (UK)","http://www.soundcloud.com/steve-lawler",26595
813,"crazy p",NULL,"http://www.soundcloud.com/crazyp",37166
10739,"rob mello","united kingdom",NULL,NULL
16723,"seb zito",NULL,"http://www.soundcloud.com/sebzito",57212
17858,"richy ahmed",NULL,"http://www.soundcloud.com/richyahmed",160591
3003,"maya jane coles",NULL,"http://www.soundcloud.com/mayajanecoles",299463
8207,"regis","united kingdom",NULL,NULL
8616,"surgeon","Britain (UK)","http://www.soundcloud.com/dynamic-tension",340418
14280,"clive henry","united kingdom",NULL,1037175
16739,"chris maran","Britain (UK)","http://www.soundcloud.com/chris-maran",247261
16952,"kim ann foxman","United States","http://www.soundcloud.com/kimannfoxman",807084
25520,"bill patrick","Aaland Islands","http://www.soundcloud.com/billpatrick",6271
26092,"lee rands","united kingdom",NULL,NULL
1430,"marcel dettmann","Germany","http://www.soundcloud.com/marceldettmann",251374
2006,"eddie richards",NULL,"http://www.soundcloud.com/eddie-richards",159301
4209,"answer code request","Germany","http://www.soundcloud.com/answercoderequest",4062
6080,"oli furness",NULL,"http://www.soundcloud.com/wally-00",1856052
6291,"samu.l",NULL,"http://www.soundcloud.com/samu_l",2163487
12805,"anthony parasole","United States","http://www.soundcloud.com/the-corner_brooklyn",17180513
18695,"magda","United States","http://www.soundcloud.com/magda-official",438195
14,"raresh","Ireland","http://www.soundcloud.com/t-polar",160728
29,"praslea","romania",NULL,NULL
5136,"voigtmann",NULL,"http://www.soundcloud.com/voigtmann",80586
10610,"audio werner","germany",NULL,1273753
18336,"dave clarke","Netherlands","http://www.soundcloud.com/dave-clarke-dj-sets",4301148
22067,"rrose","",NULL,NULL
24932,"praslesh","romania",NULL,NULL
1679,"justin drake","united kingdom",NULL,30399
3758,"appleblim","united kingdom",NULL,NULL
7835,"the pushamann","united kingdom",NULL,NULL
8629,"ben klock","Germany","http://www.soundcloud.com/ben-klock",4382366
10458,"ryan elliott","Germany","http://www.soundcloud.com/ryan-elliott",380495
10912,"space dimension controller","Madagascar","http://www.soundcloud.com/spacedimensioncontroller",121550
12499,"alex smoke","united kingdom",NULL,NULL
17935,"second storey",NULL,"http://www.soundcloud.com/second_storey",168043
20213,"lone","United States","https://soundcloud.com/lone-1",325675
346,"john tejada","usa",NULL,NULL
1691,"daniel bell","usa",NULL,1259914
4386,"delano smith","United States","http://www.soundcloud.com/mixmodedetroit",521010
9784,"tobias.","Germany","http://www.soundcloud.com/tobias-freund",41915
19266,"michael mayer","Germany","http://www.soundcloud.com/kompakt",4634
19735,"shaun soomro",NULL,"http://www.soundcloud.com/shaun-soomro",1217
22107,"yossi amoyal","Germany","http://www.soundcloud.com/sushitech",95978
2788,"roberto","Britain (UK)","http://www.soundcloud.com/robertodj",144845
7640,"seth troxler",NULL,"http://www.soundcloud.com/sethtroxler",16625690
8623,"robert hood","usa",NULL,NULL
10598,"the martinez brothers","usa",NULL,10626671
21954,"jasper james",NULL,"http://www.soundcloud.com/djjasperjames",1565410
24614,"karenn","united kingdom",NULL,NULL
26208,"route 94",NULL,"http://www.soundcloud.com/route94",34190261
26392,"bas ibellini",NULL,"http://www.soundcloud.com/basibellini",150136
257,"system","denmark",NULL,NULL
5844,"pearson sound","Britain (UK)","http://www.soundcloud.com/pearsonsound",9720890
17440,"pangaea","Britain (UK)","http://www.soundcloud.com/pangaea",10626
17671,"ben ufo","Britain (UK)","http://www.soundcloud.com/benufo",1343352
25315,"jackmaster",NULL,"http://www.soundcloud.com/jackmaster",14664
9246,"ben pearce","united kingdom",NULL,NULL
10828,"dj die","Britain (UK)","http://www.soundcloud.com/gutterfunk",2864385
13928,"secondcity",NULL,"http://www.soundcloud.com/secondcityuk",29759329
15732,"scratch perverts","united kingdom",NULL,NULL
16266,"pete graham",NULL,"http://www.soundcloud.com/pete-graham",4265690
19889,"dorsia",NULL,"http://www.soundcloud.com/dorsia-music",46598291
26385,"henry krinkle","United States","http://www.soundcloud.com/henry-krinkle",7031630
1408,"oneman",NULL,NULL,503901
2629,"tyree cooper","Germany","http://www.soundcloud.com/jack-the-box-54",14139
12373,"parris mitchell","United States","http://www.soundcloud.com/victor-parris-mitchell",24419738
14502,"bok bok",NULL,"http://www.soundcloud.com/bokbok",8606
16606,"charles t drakeford",NULL,"http://www.soundcloud.com/charlesdrakeford",5134652
21983,"dj ez","Britain (UK)","http://www.soundcloud.com/djez",234193
25277,"tasker",NULL,"http://www.soundcloud.com/whities",298542
25963,"martelo",NULL,NULL,7751
26095,"flava d",NULL,"http://www.soundcloud.com/flava_d",978352
26255,"bradley zero",NULL,"http://www.soundcloud.com/bradleyzero",62579
26388,"bodyjack",NULL,"http://www.soundcloud.com/bodyjack",941
14218,"fierce","united kingdom",NULL,NULL
22383,"hatcha","united kingdom",NULL,NULL
24471,"plastician","united kingdom",NULL,198038
26111,"logan sama","Britain (UK)","http://www.soundcloud.com/keepinitgrimy",37832728
26391,"source direct","united kingdom",NULL,16108221
