"event_id","club_id","date"
648646,237,"2015-01-16"
648658,237,"2015-01-30"
648661,237,"2015-02-06"
648665,237,"2015-02-13"
648668,237,"2015-02-20"
648678,237,"2015-01-23"
648683,237,"2015-01-09"
648685,237,"2015-02-27"
657694,237,"2015-04-02"
660264,237,"2015-02-01"
662858,237,"2015-01-04"
662860,237,"2015-01-11"
662861,237,"2015-01-18"
662862,237,"2015-01-25"
664138,237,"2015-01-10"
664143,237,"2015-01-24"
664145,237,"2015-01-31"
664147,237,"2015-02-07"
664151,237,"2015-02-14"
664722,237,"2015-01-17"
664727,237,"2015-02-21"
667279,237,"2015-02-08"
667281,237,"2015-02-15"
667282,237,"2015-02-22"
668391,237,"2015-03-05"
670641,237,"2015-02-28"
674509,237,"2015-03-07"
674511,237,"2015-03-14"
674515,237,"2015-03-21"
674527,237,"2015-03-28"
674530,237,"2015-04-04"
676417,237,"2015-03-06"
676419,237,"2015-03-13"
676429,237,"2015-03-20"
676433,237,"2015-03-27"
676439,237,"2015-04-03"
676441,237,"2015-04-10"
676445,237,"2015-04-17"
676449,237,"2015-04-24"
676452,237,"2015-05-01"
676454,237,"2015-05-08"
676456,237,"2015-05-15"
676460,237,"2015-05-22"
676463,237,"2015-05-29"
679354,237,"2015-03-01"
679356,237,"2015-03-08"
679358,237,"2015-03-15"
679359,237,"2015-03-22"
679375,237,"2015-03-29"
683743,237,"2015-04-11"
683748,237,"2015-04-18"
683749,237,"2015-04-25"
685940,237,"2015-04-05"
687420,237,"2015-08-30"
692199,237,"2015-05-02"
692208,237,"2015-05-09"
692213,237,"2015-05-16"
693624,237,"2015-05-03"
693625,237,"2015-05-24"
694175,237,"2015-05-23"
694897,237,"2015-04-12"
694899,237,"2015-04-19"
694901,237,"2015-04-26"
700937,237,"2015-05-10"
700944,237,"2015-05-17"
700947,237,"2015-05-31"
703534,237,"2015-05-30"
703536,237,"2015-06-06"
703537,237,"2015-06-13"
703538,237,"2015-06-20"
707358,237,"2015-06-05"
707360,237,"2015-06-12"
707362,237,"2015-06-19"
707365,237,"2015-06-26"
707367,237,"2015-07-03"
707374,237,"2015-07-10"
707383,237,"2015-07-17"
707392,237,"2015-07-24"
707397,237,"2015-07-31"
707403,237,"2015-08-14"
707404,237,"2015-08-21"
707410,237,"2015-08-28"
